space_start_mile,space_end_mile,time_start_s,time_end_s,average_speed_mph,vehicle_count,is_observed
8.000000000,8.100000000,7200.000000000,7500.000000000,43.174511188,48,1
8.000000000,8.100000000,7500.000000000,7800.000000000,41.946596674,54,1
8.000000000,8.100000000,7800.000000000,8100.000000000,41.915169146,58,1
8.000000000,8.100000000,8100.000000000,8400.000000000,44.376502775,48,1
8.000000000,8.100000000,8400.000000000,8700.000000000,42.233776856,60,1
8.000000000,8.100000000,8700.000000000,9000.000000000,41.470052974,40,1
8.000000000,8.100000000,9000.000000000,9300.000000000,42.478191522,50,1
8.000000000,8.100000000,9300.000000000,9600.000000000,41.087449437,49,1
8.000000000,8.100000000,9600.000000000,9900.000000000,41.848617285,63,1
8.000000000,8.100000000,9900.000000000,10200.000000000,44.508853746,47,1
8.000000000,8.100000000,10200.000000000,10500.000000000,45.221086797,48,1
8.000000000,8.100000000,10500.000000000,10800.000000000,42.151366182,58,1
8.000000000,8.100000000,10800.000000000,11100.000000000,44.463518587,48,1
8.000000000,8.100000000,11100.000000000,11400.000000000,42.441899804,45,1
8.000000000,8.100000000,11400.000000000,11700.000000000,41.957951764,47,1
8.000000000,8.100000000,11700.000000000,12000.000000000,41.290297443,59,1
8.000000000,8.100000000,12000.000000000,12300.000000000,44.898616226,39,1
8.000000000,8.100000000,12300.000000000,12600.000000000,45.461757018,68,1
8.000000000,8.100000000,12600.000000000,12900.000000000,42.057196205,49,1
8.000000000,8.100000000,12900.000000000,13200.000000000,43.511823787,50,1
8.000000000,8.100000000,13200.000000000,13500.000000000,44.383601420,52,1
8.000000000,8.100000000,13500.000000000,13800.000000000,42.255501259,47,1
8.000000000,8.100000000,13800.000000000,14100.000000000,42.786922938,50,1
8.000000000,8.100000000,14100.000000000,14400.000000000,43.495408755,47,1
8.000000000,8.100000000,14400.000000000,14700.000000000,38.130849259,55,1
8.000000000,8.100000000,14700.000000000,15000.000000000,44.027715893,54,1
8.000000000,8.100000000,15000.000000000,15300.000000000,44.465302073,53,1
8.000000000,8.100000000,15300.000000000,15600.000000000,43.238122878,47,1
8.000000000,8.100000000,15600.000000000,15900.000000000,41.429957808,52,1
8.000000000,8.100000000,15900.000000000,16200.000000000,42.144865947,49,1
8.000000000,8.100000000,16200.000000000,16500.000000000,42.167617091,54,1
8.000000000,8.100000000,16500.000000000,16800.000000000,40.611297988,54,1
8.000000000,8.100000000,16800.000000000,17100.000000000,42.713866685,43,1
8.000000000,8.100000000,17100.000000000,17400.000000000,40.245269071,46,1
8.000000000,8.100000000,17400.000000000,17700.000000000,38.587019896,52,1
8.000000000,8.100000000,17700.000000000,18000.000000000,40.564230046,43,1
8.000000000,8.100000000,18000.000000000,18300.000000000,42.398450678,58,1
8.000000000,8.100000000,18300.000000000,18600.000000000,43.644779192,47,1
8.000000000,8.100000000,18600.000000000,18900.000000000,42.563126796,50,1
8.000000000,8.100000000,18900.000000000,19200.000000000,44.030528428,55,1
8.000000000,8.100000000,19200.000000000,19500.000000000,39.303103031,50,1
8.000000000,8.100000000,19500.000000000,19800.000000000,42.382488338,52,1
8.000000000,8.100000000,19800.000000000,20100.000000000,39.454401883,47,1
8.000000000,8.100000000,20100.000000000,20400.000000000,39.599805780,51,1
8.000000000,8.100000000,20400.000000000,20700.000000000,41.953374791,65,1
8.000000000,8.100000000,20700.000000000,21000.000000000,40.972459693,40,1
8.000000000,8.100000000,21000.000000000,21300.000000000,43.479583400,49,1
8.000000000,8.100000000,21300.000000000,21600.000000000,42.385554613,59,1
8.100000000,8.200000000,0.000000000,300.000000000,65.000000000,0,0
8.100000000,8.200000000,300.000000000,600.000000000,56.870905720,4,1
8.100000000,8.200000000,600.000000000,900.000000000,43.340164390,34,1
8.100000000,8.200000000,900.000000000,1200.000000000,39.039009043,43,1
8.100000000,8.200000000,1200.000000000,1500.000000000,37.578728664,55,1
